x,y,genre,title,rating
-0.9362618,-1.4960274,Adventure,Toy Story (1995),3.9209302325581397
1.2932713,3.1055255,Adventure,Jumanji (1995),3.4318181818181817
-0.9692906,2.4289143,Comedy,Grumpier Old Men (1995),3.2596153846153846
6.288583,12.6725235,Comedy,Waiting to Exhale (1995),2.357142857142857
4.4366775,7.871517,Comedy,Father of the Bride Part II (1995),3.0714285714285716
-2.8455772,-0.34717783,Action,Heat (1995),3.946078431372549
3.240654,5.7540083,Comedy,Sabrina (1995),3.185185185185185
5.2444205,9.580516,Adventure,Tom and Huck (1995),2.875
3.6653225,6.365889,Action,Sudden Death (1995),3.125
0.310765,4.2719526,Action,GoldenEye (1995),3.496212121212121
-1.4559597,0.042899802,Comedy,"American President, The (1995)",3.6714285714285713
4.768689,14.62406,Comedy,Dracula: Dead and Loving It (1995),2.4210526315789473
-1.0753114,3.5428581,Adventure,Balto (1995),3.125
-3.0246139,2.3174992,Drama,Nixon (1995),3.8333333333333335
2.337756,4.049378,Action,Cutthroat Island (1995),3.0
-1.2105427,-0.45333594,Crime,Casino (1995),3.926829268292683
-2.043677,-1.3425373,Drama,Sense and Sensibility (1995),3.7761194029850746
-3.2804453,1.6010816,Comedy,Four Rooms (1995),3.7
5.4213867,13.613576,Comedy,Ace Ventura: When Nature Calls (1995),2.727272727272727
3.6636837,6.2927694,Action,Money Train (1995),2.5
-0.36,1.7734166,Comedy,Get Shorty (1995),3.49438202247191
-0.7801918,3.927116,Crime,Copycat (1995),3.2222222222222223
4.5268373,7.85656,Action,Assassins (1995),3.125
1.3290706,4.5461125,Drama,Powder (1995),3.125
1.0193604,0.7135445,Drama,Leaving Las Vegas (1995),3.625
-0.6241826,1.973054,Drama,Othello (1995),3.5
1.5328174,3.9235115,Children,Now and Then (1995),3.3333333333333335
-2.624654,-1.6608235,Drama,Persuasion (1995),4.2272727272727275
-2.2278605,-1.9027301,Adventure,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",4.0131578947368425
5.817556,13.229928,Crime,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.0
1.6099331,3.9785151,Drama,Dangerous Minds (1995),3.1842105263157894
-3.2191868,-2.2196684,Mystery,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.983050847457627
-0.19278783,0.46681267,Children,Babe (1995),3.65234375
-3.824185,0.43297884,Crime,Dead Man Walking (1995),3.8358208955223883
5.324921,10.343296,Children,It Takes Two (1995),2.125
0.49095875,3.2128706,Comedy,Clueless (1995),3.293269230769231
14.487792,-0.33741003,Drama,"Cry, the Beloved Country (1995)",4.25
-3.313933,1.5750434,Drama,Richard III (1995),3.7
2.8496978,5.072861,Action,Dead Presidents (1995),3.0
1.2262648,4.577309,Drama,Restoration (1995),3.1875
5.128598,13.73051,Action,Mortal Kombat (1995),2.5434782608695654
1.1697879,1.8878045,Comedy,To Die For (1995),3.3125
1.5968953,4.5046043,Drama,How to Make an American Quilt (1995),3.066666666666667
-2.4814348,-0.9799295,Mystery,Seven (a.k.a. Se7en) (1995),3.9753694581280787
3.8097575,6.346645,Animation,Pocahontas (1995),3.1470588235294117
13.083043,-0.9983596,Drama,When Night Is Falling (1995),3.0
-3.943971,-1.2290398,Crime,"Usual Suspects, The (1995)",4.237745098039215
-0.10723294,4.3483305,Comedy,Mighty Aphrodite (1995),3.4642857142857144
-4.3644657,1.1366602,Adventure,Lamerica (1994),5.0
5.509672,8.89838,Children,"Big Green, The (1995)",2.3333333333333335
-1.5225252,-1.1475794,Drama,Georgia (1995),4.0
5.6566606,8.571941,Drama,Home for the Holidays (1995),3.0625
-3.548669,-2.0801628,Comedy,"Postman, The (Postino, Il) (1994)",4.027027027027027
1.0619566,2.4622984,Adventure,"Indian in the Cupboard, The (1995)",3.235294117647059
1.8456651,2.6908596,Drama,Eye for an Eye (1996),3.75
0.56856096,-0.67222345,Drama,Mr. Holland's Opus (1995),3.70625
6.493944,12.019226,Comedy,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.7142857142857144
4.4860682,14.249547,Comedy,Two if by Sea (1996),2.2
